|   epoch |   Dropout 0.0 |   Dropout 0.3 |   Dropout 0.5 |   Dropout 0.7 |   Dropout 0.9 |
|--------:|--------------:|--------------:|--------------:|--------------:|--------------:|
|       1 |     700.743   |      673.062  |      678.452  |      709.378  |       736.624 |
|       2 |     213.802   |      225.701  |      236.345  |      272.772  |       394.268 |
|       3 |     142.183   |      156.781  |      173.82   |      212.1    |       352.859 |
|       4 |     112.43    |      129.275  |      145.412  |      184.039  |       336.66  |
|       5 |      93.9102  |      113.275  |      129.704  |      167.544  |       328.577 |
|       6 |      80.4023  |      101.934  |      119.954  |      158.386  |       322.964 |
|       7 |      68.6036  |       93.3302 |      112.249  |      149.96   |       317.172 |
|       8 |      57.5696  |       86.6157 |      106.981  |      144.494  |       316.43  |
|       9 |      48.1381  |       80.4331 |      101.983  |      140.514  |       312.323 |
|      10 |      40.4455  |       75.3232 |       98.2621 |      137.005  |       310.213 |
|      11 |      34.3564  |       70.5372 |       95.1485 |      134.405  |       309.599 |
|      12 |      29.5768  |       66.2885 |       91.1855 |      131.49   |       309.538 |
|      13 |      25.8221  |       62.2758 |       89.3897 |      129.013  |       308.401 |
|      14 |      22.9915  |       59.1299 |       86.865  |      127.748  |       310.354 |
|      15 |      20.513   |       56.244  |       84.5898 |      125.542  |       307.95  |
|      16 |      18.6535  |       53.4512 |       82.8092 |      123.926  |       307.201 |
|      17 |      17.0171  |       51.2103 |       80.9048 |      122.693  |       310.136 |
|      18 |      15.7129  |       49.4128 |       79.1532 |      121.42   |       306.645 |
|      19 |      14.6606  |       47.3815 |       77.575  |      120.418  |       301.514 |
|      20 |      13.8609  |       45.8379 |       76.3989 |      119.829  |       289.587 |
|      21 |      12.6136  |       44.331  |       74.7203 |      118.207  |       283.577 |
|      22 |       9.2317  |       43.2623 |       73.6316 |      116.307  |       280.639 |
|      23 |       7.64418 |       41.9419 |       72.6166 |      117.092  |       275.906 |
|      24 |       6.66586 |       41.0437 |       71.8781 |      115.675  |       273.844 |
|      25 |       5.97222 |       39.7668 |       69.962  |      114.633  |       271.309 |
|      26 |       5.4463  |       39.0149 |       69.2721 |      114.407  |       270.002 |
|      27 |       5.02098 |       38.453  |       68.1784 |      113.559  |       268.096 |
|      28 |       4.68308 |       37.4511 |       67.4847 |      113.36   |       266.112 |
|      29 |       4.39391 |       36.9217 |       66.4728 |      112.326  |       264.283 |
|      30 |       4.15644 |       36.3492 |       66.2125 |      111.604  |       264.616 |
|      31 |       3.94665 |       35.7069 |       65.4533 |      111.805  |       260.058 |
|      32 |       3.75006 |       35.2667 |       64.5338 |      106.424  |       258.393 |
|      33 |       3.58315 |       34.7722 |       64.3538 |      102.725  |       257.008 |
|      34 |       3.43383 |       34.1697 |       63.5438 |      100.394  |       256.184 |
|      35 |       3.29627 |       33.8322 |       62.8143 |       99.2082 |       255.187 |
|      36 |       3.18458 |       33.0276 |       62.2542 |       98.6789 |       255.306 |
|      37 |       3.07785 |       32.9344 |       61.5311 |       97.437  |       252.718 |
|      38 |       2.97828 |       32.5384 |       61.3157 |       96.9876 |       252.257 |
|      39 |       2.89042 |       32.1309 |       57.0749 |       95.9988 |       252.995 |
|      40 |       2.80014 |       29.9092 |       53.6119 |       95.763  |       251.695 |
