epoch,train-perplexity,test-perplexity,val-perplexity,dropout
1,736.6244380695408,352.56417195581093,388.97849381311363,0.9
2,394.26786907899503,289.058374508536,320.0498468861947,0.9
3,352.85941414960666,267.3330151626749,297.28694022906006,0.9
4,336.6601671942973,257.48959109799995,285.7329703498664,0.9
5,328.5774119060092,248.54839563606996,275.00030052088994,0.9
6,322.9639532419937,243.32700084370714,270.1188530271443,0.9
7,317.1720209934926,236.92350057087572,262.2871537819686,0.9
8,316.4298560025997,233.10413537927695,259.11950626087435,0.9
9,312.32340979882576,226.73867830652298,251.81950218171107,0.9
10,310.2125387277991,225.4001752735807,250.35160185143846,0.9
11,309.5991678307868,222.5363384886554,246.47955159544492,0.9
12,309.53814869824316,220.02798611508996,243.95529059001245,0.9
13,308.4006033643637,216.92175906096674,240.55326355778695,0.9
14,310.3542393317662,216.53840920019843,240.1970412419797,0.9
15,307.95033837222275,214.75739649410025,238.27561232743273,0.9
16,307.2010450918031,212.8550763106508,236.20385582012855,0.9
17,310.1358305357855,211.5970677926136,233.49502805377028,0.9
18,306.64478960581613,214.9167360429923,238.55978208285552,0.9
19,301.51354641400417,204.91694235262497,227.4665976841296,0.9
20,289.58655882026414,200.93582789758528,223.17561037901632,0.9
21,283.577055707088,198.61113283257134,220.89087976647218,0.9
22,280.63939029051824,197.2175610764317,219.45405138142914,0.9
23,275.9058109104759,194.44949310090186,216.59964719097104,0.9
24,273.84438839542065,193.33492466814994,214.76274273240347,0.9
25,271.30945993526643,191.5918590353019,213.3987704724317,0.9
26,270.0020807811392,191.37212781651306,213.22643704625509,0.9
27,268.09576065328343,190.62591181827963,212.23440798924102,0.9
28,266.11151952637624,187.6600580092246,209.2244353820842,0.9
29,264.2831508614018,187.32093505781447,208.56248061164666,0.9
30,264.6164254524201,187.57381476498847,209.13211371396716,0.9
31,260.058337556334,185.7303335870653,206.98419108825487,0.9
32,258.39332184525983,184.87367096704585,205.99695348240402,0.9
33,257.008082161824,184.52405782676516,205.44143959208296,0.9
34,256.1837783310436,184.46247848458822,205.39571834621333,0.9
35,255.18708832976134,183.64517533208377,204.5709906234025,0.9
36,255.30625931555556,183.33123429406604,204.5565318558555,0.9
37,252.7180515346932,182.91403025616506,204.01821519355363,0.9
38,252.25744360933078,182.6681707704531,203.80532122795907,0.9
39,252.99547688466413,182.758648460141,203.95765565697425,0.9
40,251.69542932900092,182.84923367959723,203.9705911448926,0.9
